the_geom,OBJECTID,TREE_ID,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
POINT (-97.7554425860716 30.26814374204213),4388,23103,200 N LAMAR BLVD,Quercus fusiformis,Escarpment Live Oak,5,8,Good,ROW,,3110322.85288,10070688.7644
POINT (-97.75541169947672 30.268220037803978),4389,23104,200 N LAMAR BLVD,Quercus fusiformis,Escarpment Live Oak,4,8,Good,ROW,,3110331.95785,10070716.7308
POINT (-97.75537841559944 30.268294272209776),4390,23105,200 N LAMAR BLVD,Quercus fusiformis,Escarpment Live Oak,5,8,Fair,ROW,,3110341.83677,10070743.9654
POINT (-97.75535122956714 30.268357764231975),4391,23106,200 N LAMAR BLVD,Quercus fusiformis,Escarpment Live Oak,5,8,Good,ROW,,3110349.8817,10070767.2494
POINT (-97.75531483283268 30.26843232400011),4392,23107,200 N LAMAR BLVD,Cercis canadensis texensis,Texas Redbud,3,8,Good,ROW,,3110360.74027,10070794.625
POINT (-97.75528769670883 30.268489739762533),4393,23108,200 N LAMAR BLVD,Cercis canadensis texensis,Texas Redbud,3,8,Good,ROW,,3110368.82064,10070815.6995
POINT (-97.75526239644782 30.268546725046548),4394,23109,200 N LAMAR BLVD,Cercis canadensis texensis,Texas Redbud,3,8,Fair,ROW,,3110376.32522,10070836.604
POINT (-97.75440139565241 30.270482730958022),4395,23110,500 N LAMAR BLVD,Ulmus crassifolia,Cedar Elm,8,23,Good,ROW,,3110631.73776,10071546.82
POINT (-97.75438280629325 30.2705258432504),4396,23111,500 N LAMAR BLVD,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3110637.24103,10071562.6314
POINT (-97.75411008143989 30.271057287287128),4397,23112,500 N LAMAR BLVD,Ulmus crassifolia,Cedar Elm,7,23,Fair,ROW,,3110718.83109,10071757.856
POINT (-97.75408930118051 30.2711011883026),4398,23113,500 N LAMAR BLVD,Ulmus crassifolia,Cedar Elm,8,23,Excellent,ROW,,3110725.01907,10071773.9702
POINT (-97.7540445032489 30.27119238021561),4399,23114,500 N LAMAR BLVD,Ulmus crassifolia,Cedar Elm,9,23,Poor,ROW,,3110738.38814,10071807.4547
POINT (-97.75401945021765 30.271240447036593),4400,23115,500 N LAMAR BLVD,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3110745.88944,10071825.1148
POINT (-97.75381503016575 30.270092263190524),4401,23116,900 W 5TH ST,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3110820.08548,10071409.1405
